,Lat,Temp,Humidity,Wind,Clouds
coihaique,-45.58,37.18,69,5.82,75
qasigiannguit,68.82,46.4,61,2.24,75
muisne,0.61,74.07,83,15.5,91
hasaki,35.73,87.96,74,8.05,75
tasiilaq,65.61,44.6,75,5.82,91
kilindoni,-7.91,77.65,80,10.87,100
maracai,-22.61,65.7,80,7.14,20
pisco,-13.71,60.39,87,10.29,40
wana,32.31,68.47,74,4.05,0
berlevag,70.86,43.59,89,12.41,100
porto novo,-23.68,66.2,72,3.36,0
chase,38.35,86.63,48,17.22,1
kupang,-10.16,75.8,76,11.16,8
lompoc,34.64,70.59,72,13.87,75
rio grande,-32.03,55.99,93,4.18,0
davila,18.47,78.8,100,5.82,90
saskylakh,71.97,59.56,88,12.21,100
meadow lake,54.13,57.2,67,10.29,75
albion,41.69,82.18,61,6.93,1
camacha,33.08,71.6,88,4.7,0
jumla,29.28,52.65,88,3.09,100
victoria,5.28,78.98,88,3.36,90
aykhal,65.95,62.6,63,8.95,40
lisakovsk,52.55,53.69,65,9.98,3
muncar,-8.43,71.22,83,0.98,37
kamenka,48.03,55.99,91,3.09,5
puerto ayacucho,5.66,77.0,94,6.04,75
boyolangu,-8.09,66.35,82,4.72,100
takab,36.4,55.98,77,6.71,0
aksu,52.04,64.4,63,8.95,0
burgeo,47.61,63.34,83,15.14,46
altdorf,46.88,62.58,82,5.82,0
atyrau,47.1,59.0,87,6.71,0
vostok,46.45,68.33,98,0.89,100
les cayes,18.19,83.61,78,22.12,83
solnechnyy,50.72,70.92,44,2.28,82
firminopolis,-16.58,75.33,46,4.5,82
roma,41.89,70.56,56,4.7,0
dawlatabad,36.41,80.15,14,12.68,0
banda aceh,5.56,82.73,76,17.29,100
cherskiy,68.75,53.12,96,4.54,100
lebu,8.96,55.4,87,2.24,75
cam ranh,11.92,84.2,74,2.24,75
narsaq,60.91,48.2,76,4.7,100
pabianice,51.66,64.49,88,4.27,20
saraland,30.82,82.13,83,3.36,40
anadyr,64.73,66.09,55,13.42,0
lesosibirsk,58.22,66.6,84,3.0,100
mako,13.11,76.66,81,6.15,71
saint paul,44.95,80.46,42,8.05,1
springbok,-29.67,48.83,50,2.95,0
takahagi,36.74,86.25,66,3.36,75
mwense,-10.39,60.98,42,4.54,0
kulhudhuffushi,6.62,84.04,76,19.46,100
wajima,37.4,86.0,66,4.7,75
hervey bay,-25.3,71.8,60,4.7,90
martapura,-3.41,75.2,88,2.24,100
los llanos de aridane,28.66,70.18,60,14.99,90
husavik,50.56,72.55,59,12.35,61
clinton,41.28,71.29,94,4.9,1
hirado,33.32,84.33,94,9.17,75
umm lajj,25.02,85.88,74,5.26,0
ixtapa,20.71,87.42,66,4.7,90
qorveh,35.17,53.37,88,9.86,0
werder,53.49,60.01,91,5.59,78
ballina,54.11,57.52,94,1.99,69
waddan,29.16,72.12,53,8.23,0
jiangkou,30.7,83.61,77,3.06,65
srednekolymsk,67.46,55.02,95,11.27,100
tuatapere,-46.13,51.01,74,3.0,97
ulagan,50.63,45.84,96,2.1,97
spassk-ryazanskiy,54.41,48.0,87,9.17,67
denpasar,-8.65,75.2,78,1.12,20
half moon bay,37.46,67.28,93,4.7,90
esperance,-33.86,46.4,93,10.29,37
prince rupert,54.32,57.2,93,6.93,90
bjornevatn,69.67,42.8,93,9.17,100
tuktoyaktuk,69.44,41.0,86,16.11,90
tura,64.27,61.83,77,2.46,42
ketovo,55.35,49.41,84,5.73,6
inta,66.04,55.11,88,10.89,38
inhambane,-23.87,63.79,89,3.67,0
gorontalo,0.54,80.24,72,5.59,96
santa rosa,-36.62,50.52,33,9.01,0
sharon,36.23,82.33,88,10.29,75
buraydah,26.33,87.8,27,5.82,0
palpa,-14.53,58.93,76,7.38,8
gua musang,4.88,67.26,83,1.72,100
namibe,-15.19,64.64,78,4.81,0
rawson,-43.3,46.33,42,18.59,28
provideniya,64.42,50.0,76,13.42,0
codrington,-28.95,60.82,82,4.12,90
egvekinot,66.32,59.38,67,8.99,56
huangzhou,30.44,85.59,69,6.93,50
mount gambier,-37.83,50.0,81,5.82,100
rodos,36.44,78.26,57,9.17,0
carroll,-30.99,53.82,32,4.7,90
zaqatala,41.63,68.24,58,2.53,89
paredon,-18.93,57.2,16,11.41,0
vanimo,-2.67,79.58,79,6.55,97
konin,52.23,66.0,80,4.74,100
ostrovnoy,68.05,42.39,98,12.41,100
lorengau,-2.02,81.83,79,5.53,24
burayevo,55.84,46.47,96,12.97,70
havoysund,71.0,42.8,87,8.05,75
vila franca do campo,37.72,73.4,94,13.87,75
ongandjera,-17.88,59.43,31,4.21,0
zadonsk,52.39,51.03,81,8.95,0
togur,58.36,59.51,81,7.99,67
turayf,31.68,73.4,49,12.75,0
quthing,-30.4,37.82,29,2.24,0
erenhot,43.65,59.04,71,10.27,91
ketchikan,55.34,63.09,72,16.11,1
viljoenskroon,-27.21,50.9,26,5.01,0
porosozero,62.72,44.42,91,2.33,90
lebedyan,53.01,48.2,81,8.95,0
bundaberg,-24.87,71.8,60,4.7,90
bonthe,7.53,75.26,90,12.91,100
eyl,7.98,76.88,72,30.91,11
nelson bay,-32.72,63.34,54,8.05,0
yatou,3.63,75.2,100,3.36,75
cravo norte,6.3,73.24,84,5.93,43
sibu,2.29,77.0,94,5.21,75
fernley,39.61,84.83,19,5.82,1
yulara,-25.24,60.8,29,10.29,0
emerald,-23.53,68.0,64,8.05,90
wajir,1.75,75.44,72,18.79,6
byron bay,-28.65,63.18,82,2.24,2
port blair,11.67,83.19,80,25.97,94
saldanha,41.42,66.51,73,3.31,82
songjianghe,42.18,78.17,79,1.74,26
san cristobal,14.68,76.86,65,6.82,98
necochea,-38.55,50.0,82,3.0,0
goure,13.98,84.83,55,11.5,21
escanaba,45.75,71.51,73,4.7,12
manzanillo,19.05,87.8,74,5.82,75
parit buntar,5.13,78.44,88,3.71,75
kokopo,-4.34,83.03,60,1.43,76
san policarpo,12.18,83.64,69,17.72,100
ashqelon,31.67,73.58,74,8.05,20
hay river,60.82,60.8,51,6.93,20
padang,-0.92,79.88,80,18.95,100
charters towers,-20.07,68.11,67,6.11,56
englewood,39.65,90.55,15,9.17,40
brae,60.4,57.2,100,4.7,100
romilly-sur-seine,48.52,64.17,82,6.93,97
puerto madryn,-42.77,48.44,38,18.39,0
carora,10.17,75.99,76,3.33,47
cap malheureux,-19.98,68.45,94,11.32,75
mount pleasant,33.16,88.07,49,2.82,1
luanda,-8.83,70.68,88,8.3,91
alofi,-19.06,77.0,73,13.87,75
kathmandu,27.71,69.8,100,3.15,75
jutai,-1.71,71.46,98,2.86,19
susanville,40.42,89.6,14,6.93,1
mongar,27.28,52.2,96,3.2,58
salinopolis,-0.61,82.04,75,20.92,4
kirakira,-10.46,83.9,69,2.93,80
nago,45.88,67.14,94,3.36,20
salimbalan,8.27,82.99,76,3.0,100
provo,40.23,93.31,14,9.8,1
andros town,24.73,84.94,70,5.82,75
vilcun,-38.65,38.07,100,3.36,0
dhidhdhoo,6.88,83.37,79,20.76,100
haapiti,-17.57,82.17,69,6.93,40
souillac,45.6,68.22,88,2.24,0
pozega,43.85,61.66,67,2.24,0
qingdao,36.09,84.09,74,6.71,20
ekhabi,53.51,58.89,71,8.7,0
constantine,36.36,80.6,36,13.87,20
maldonado,-34.91,60.8,77,2.24,0
ekibastuz,51.72,73.71,29,9.33,0
matamoros,25.87,88.88,66,14.99,1
petropavlovsk-kamchatskiy,53.05,57.2,87,11.18,75
auki,12.18,73.24,88,5.53,75
bayanday,53.07,60.87,53,7.9,82
gamba,28.28,42.55,72,1.68,100
porto walter,-8.27,69.96,44,1.07,26
simao,22.76,66.83,96,0.58,95
liwale,-9.8,59.83,96,4.81,39
abu samrah,35.3,70.04,74,9.33,0
komsomolskiy,67.55,54.02,89,13.71,50
eshowe,-28.89,58.03,87,1.39,95
buala,-8.15,81.65,77,5.5,92
marsa matruh,31.35,79.05,66,12.26,0
plouzane,48.38,61.02,93,10.29,75
waipawa,-39.94,54.0,73,10.0,94
celestun,20.87,82.96,86,20.13,100
port lincoln,-34.72,53.3,87,10.76,100
iralaya,15.0,84.2,79,9.17,75
dunedin,-45.87,53.01,54,4.0,78
cairns,-16.92,72.64,73,9.17,90
pokosnoye,55.53,62.76,59,4.65,0
sola,-3.17,64.47,89,5.28,0
tadine,-21.55,73.64,83,10.69,34
ndola,-12.97,58.82,43,4.52,19
sao jose de ribamar,-2.56,80.6,74,8.05,20
paamiut,61.99,40.07,96,7.94,100
tarsus,36.92,76.98,88,3.33,40
maniitsoq,65.42,41.27,93,7.67,100
tsaratanana,-16.8,56.43,92,8.32,0
puerto lempira,15.27,84.2,79,9.17,75
kot samaba,28.55,91.29,51,12.66,0
campina verde,-19.54,73.73,55,10.16,85
skelleftea,64.75,44.6,100,1.48,39
thap than,15.46,74.23,96,2.57,100
tigil,57.8,56.52,95,2.33,100
gari,59.43,49.44,94,15.19,83
labuhan,-2.54,75.38,75,0.72,100
emba,34.81,74.07,83,4.7,20
vila velha,-3.71,73.98,88,5.82,75
letterkenny,54.95,49.93,96,2.66,10
vaitape,-16.52,78.77,76,12.44,0
fort nelson,58.81,68.0,52,6.93,40
caldas novas,-17.75,69.53,60,9.89,0
orlik,53.95,60.78,93,2.24,0
rorvik,64.86,50.0,96,14.5,0
voyvozh,62.89,39.96,98,4.07,32
beyneu,45.32,66.62,45,7.43,0
gorodishche,53.27,51.01,78,5.23,10
hambantota,6.12,81.79,80,15.66,100
stonewall,50.13,75.38,53,11.41,75
bilma,18.69,90.14,36,6.58,16
asyut,27.18,76.5,47,12.64,0
ternate,14.29,80.44,83,4.7,90
taoudenni,22.68,96.73,29,1.23,88
zhigansk,66.77,60.53,61,13.76,100
ercis,39.03,66.06,55,8.05,0
neiafu,-18.65,77.0,73,6.93,75
quatre cocos,-20.21,68.52,94,6.13,75
havelock,34.88,80.01,78,5.82,20
la ronge,55.1,59.0,58,17.22,40
vilyuysk,63.75,69.84,57,5.66,47
buta,2.79,70.9,93,2.33,98
clyde river,70.47,48.2,100,3.36,90
wanaka,-44.7,34.77,99,5.1,98
shelburne,44.08,72.97,78,3.36,75
qaqortoq,60.72,48.2,76,4.7,100
sur,22.57,88.88,41,7.87,71
rio gallegos,-51.62,32.0,60,20.8,0
luoyang,34.66,74.54,75,2.33,70
caravelas,-17.73,72.68,86,12.82,97
irbit,57.67,51.44,75,11.81,75
shimoda,34.7,84.07,83,16.11,20
worthington,43.62,78.53,57,6.93,1
mumbwa,-14.99,63.47,43,5.95,0
luba,17.32,79.68,84,3.33,100
odesskoye,54.21,65.27,89,4.94,94
mao,19.55,82.44,83,16.11,75
cabo san lucas,22.89,87.39,35,14.99,20
pascagoula,30.37,81.27,83,3.36,40
adrar,27.87,102.2,8,13.87,0
sao cristovao,-11.01,71.6,94,10.29,40
grand gaube,-20.01,68.45,94,11.32,75
vallenar,-28.58,46.8,87,1.79,0
san lorenzo,13.43,85.07,66,4.34,92
bago,17.34,76.41,96,3.94,92
nikki,9.94,71.19,95,4.7,40
naze,5.43,73.82,95,3.71,100
ust-kulom,61.69,46.1,97,4.14,100
mokhsogollokh,61.4,65.3,52,5.1,41
mawlaik,23.63,72.61,99,2.33,100
talcahuano,-36.72,48.2,76,8.05,0
tulsipur,27.53,83.72,70,4.83,91
yellandu,17.59,73.76,95,9.42,100
shache,38.42,71.01,93,2.86,0
aquiraz,-3.9,73.89,88,5.82,75
troitskoye,52.98,62.01,86,4.38,0
pangai,-19.8,77.0,69,14.99,75
eresos,39.17,75.26,67,16.96,0
daru,-9.07,77.97,86,8.57,88
nouakchott,18.08,73.4,83,13.87,26
at-bashi,41.17,52.94,54,5.12,0
darhan,49.49,57.35,67,4.16,14
orbetello,42.44,70.29,82,4.7,0
teeli,51.01,54.27,83,1.59,100
talnakh,69.49,57.2,82,8.95,40
cidreira,-30.17,62.48,89,7.09,0
srandakan,-7.94,70.88,81,4.92,96
hovd,63.83,52.95,87,8.05,0
shumskiy,54.83,58.03,70,5.46,0
tiarei,-17.53,82.17,69,6.93,40
sungaipenuh,-2.08,69.86,89,1.54,95
mildura,-34.18,57.0,42,1.99,90
onega,63.91,50.51,89,14.0,96
sangar,63.92,64.08,54,0.96,78
takoradi,4.89,72.86,94,4.03,80
sharjah,25.36,89.1,63,6.93,0
candido mendes,-1.45,71.6,96,3.4,40
acari,-6.44,72.39,66,16.49,27
lewisporte,49.25,55.18,93,5.82,20
avera,33.19,81.97,70,5.82,1
winnemucca,40.97,97.07,7,10.29,1
albury,-36.08,47.21,93,2.24,40
moscow,55.75,52.88,93,8.95,0
margate,-43.03,50.58,50,18.34,40
ueno,36.07,86.61,66,2.33,1
nioaque,-21.16,71.94,51,4.88,20
beidao,34.57,65.16,66,1.68,0
tarko-sale,64.92,63.0,81,18.16,79
nampula,-15.12,66.2,93,2.24,90
agirish,61.92,45.63,96,6.98,9
comodoro rivadavia,-45.87,46.4,39,23.04,0
port-gentil,-0.72,75.22,83,14.45,72
hofn,64.25,36.79,89,7.2,64
dzilam gonzalez,21.28,82.67,83,23.11,100
baymak,52.6,43.94,97,10.71,10
lata,30.78,46.51,96,2.46,100
torrijos,39.98,77.47,31,11.59,100
nicoya,10.15,79.0,62,9.17,0
kutum,14.2,72.3,73,8.37,100
jammu,32.72,80.6,88,8.05,75
northam,-31.65,44.6,93,3.36,20
yumen,40.29,78.44,29,16.28,100
pochutla,15.74,85.51,70,0.92,75
la malbaie,47.66,70.0,74,1.01,100
kurilsk,45.23,60.8,98,8.84,97
sakaiminato,35.55,86.0,66,11.41,75
saurimo,-9.66,66.45,48,2.24,0
jilib,0.49,74.45,88,6.22,73
pangnirtung,66.15,51.24,65,3.04,87
williston,48.15,83.01,44,13.87,1
ust-maya,60.42,68.07,48,4.72,0
balkhash,46.84,74.16,22,6.89,0
dongsheng,29.72,79.54,88,9.82,98
baykit,61.68,61.34,79,3.29,0
north platte,41.12,86.41,58,6.93,1
mnogovershinnyy,53.94,64.42,57,7.05,0
jasper,33.83,83.03,74,3.74,1
